fName,lastName,birthday,title,roleName
Will,Smith,1982-11-11,Home Again,Anna
Jay,Baruchel,2002-03-30,Midnight Sun,Barbie
Chris,Elliott,2002-07-22,Rock the Kasbah,Dog
Chris,Pine,1962-02-25,Brick Mansions,Barbie
Michael,J.,1966-12-02,Tango With Me,Barbie
Marc,Maron,1970-02-23,The Mire,David Kim
Will,Ferrell,1959-08-20,This Little Love Of Mine,Sophie
George,Clooney,1976-10-29,A Land Imagined,Dog
Taraji,P.,1964-11-21,Har Kisse Ke Hisse: Kaamyaab,David Kim
Michael,Douglas,1964-08-13,Rehmataan,Barbie
Ralph,Macchio,1970-05-29,Return of the Prodigal Son,David Kim
Kevin,Spacey,1968-07-28,Rise: Ini Kalilah,Anna
David,Carradine,1984-06-11,Si Doel the Movie 2,Dog
Liv,Tyler,1994-04-20,Truckbhar Swapna,David Kim
Ben,Affleck,1963-05-30,Ujala,David Kim
Angelina,Jolie,2003-07-08,Haseen Dillruba,David Kim
Kate,Beckinsale,1993-01-19,RattleSnake - The Ahanna Story,Dog
Michael,Sheen,1984-06-27,Snowpiercer,Anna
Uzee,Usman,1959-12-09,The 8th Night,Barbie
Robin,Williams,1955-08-30,Winchester,Dog
Halle,Berry,2000-11-29,6 Bullets,Anna
Theo,James,1956-12-20,Air Force One,Dog
Brad,Pitt,1987-11-14,Austin Powers in Goldmember,Dog
Olivier,Rousteing,1999-04-26,Austin Powers: International Man of Mystery,Anna
Hassan,Mrad,1976-02-28,Austin Powers: The Spy Who Shagged Me,Barbie
Liam,Neeson,1954-12-05,Boogie Nights,Dog
Guy,Pearce,1984-04-04,Charlie's Angels,Barbie
César,Troncoso,1959-02-16,Congo,David Kim
Nkem,Owoh,1959-01-23,Dennis the Menace,Sophie
Flavia,Hojda,1959-09-24,Dreamy Eyes,Anna
Maia,Morgenstern,1967-07-13,Hampstead,David Kim
Raluca,Aprodu,1978-01-25,Kung Fu Panda,David Kim
K.J.,Apa,1966-04-16,Kung Fu Panda 2,Dog
Debbie,Allen,1960-08-22,Life as We Know It,Barbie
Kevin,Hart,1964-07-26,Mary Magdalene,Barbie
Nancy,Isime,1999-05-02,Memoirs of a Geisha,Barbie
Caress,Bashar,1988-08-08,Midnight Run,Anna
Charlie,Dizon,1975-02-13,Mortal Kombat,Barbie
Asivak,Koostachin,1962-11-15,Mother's Day,David Kim
Bradley,Cooper,1999-01-19,No Strings Attached,Anna
Max,Jabs,1982-11-15,Not Another Teen Movie,Anna
Demián,Bichir,1979-09-29,Ophelia,David Kim
Marco,DAmore,1956-09-14,Red Joan,Dog
Jane,Fonda,1960-11-19,Seven Pounds,David Kim
Will,Yun,1953-03-30,She's Out of My League,Sophie
Troy,Garity,1951-03-28,Snow Day,Dog
Jeff,Foxworthy,1953-05-31,Star Trek,Barbie
James,Hetfield,1995-03-04,Stuart Little,Dog
Alicia,Sanz,1996-11-09,Sword of Trust,Anna
Rachel,Saanchita,1982-07-20,Talladega Nights: The Ballad of Ricky Bobby,Dog
Shay,Mitchell,1968-08-10,The American,Barbie
Jimmy,Wong,1982-05-07,The Best of Enemies,Sophie
Marlon,Wayans,1982-01-07,The Game,Barbie
Alaa,Hammoud,1965-09-17,The Karate Kid,Dog
Le,Khanh,1957-04-14,The Karate Kid Part II,Anna
Gethin,Anthony,2002-02-25,The Karate Kid Part III,Dog
Ahmad,Khamis,1991-05-22,The Life of David Gale,David Kim
Gina,Rodriguez,1988-10-04,The Long Riders,Anna
Indira,Andrewin,2003-01-17,The Queen,Dog
Zoey,Deutch,1989-06-01,The Strangers,Sophie
Rosamund,Pike,1966-01-15,The Sum of All Fears,Dog
Chika,Ike,1963-12-27,The Tourist,Barbie
David,Attenborough,1959-06-18,Underworld,Barbie
Mae,Martin,1961-01-27,Underworld: Awakening,Dog
Jang,Ki-yong,1958-05-06,Underworld: Rise of the Lycans,Dog
Jailoshini,Naidoo,1957-05-19,Voiceless,Barbie
Teo,García,1981-08-07,What Dreams May Come,Barbie
Alan,Saldaña,1980-12-30,Why Do Fools Fall in Love,David Kim
Molly,Nutley,2002-06-26,America: The Motion Picture,Sophie
Myriam,Fares,1969-05-15,Lying and Stealing,Barbie
Janine,Gutierrez,1978-10-20,Killing Them Softly,Dog
Jacob,Elordi,1993-05-23,Wonder Boy,David Kim
Barbara,Niven,2000-09-27,Here Comes the Rain,Dog
Ashleigh,Sumner,1984-02-29,The Ice Road,David Kim
John,Travolta,1957-01-26,The Seventh Day,Dog
Craig,Sheffer,1976-01-08,O Vendedor de Sonhos,David Kim
Giovana,Cordeiro,1990-09-09,Osuofia in London,Barbie
Olympia,Dukakis,1972-08-30,#Selfie,Anna
Tom,Sizemore,1953-09-11,#Selfie 69,Sophie
Jet,Li,1998-09-27,Love Is a Story,Dog
Bill,Ferguson,1950-10-04,Riverdale,Anna
Stephen,Dorff,1961-09-14,They've Gotta Have Us,Barbie
Madeline,Carroll,2003-10-01,Fatherhood,Sophie
Matthew,Perry,1957-01-04,Kambili: The Whole 30 Yards,David Kim
Gabriel,Afolayan,1952-05-10,Aziza,Anna
Kip,Pardue,1977-10-02,Fan Girl,David Kim
Sean,Penn,1983-04-17,Red Snow,Anna
Larenz,Tate,1981-09-16,Silver Linings Playbook,Anna
Fenessa,Pineda,1978-05-02,Biking Borders,Anna
Michael,Jai,1958-08-06,Lowriders,Dog
Maaya,Sakamoto,2001-07-09,Security,David Kim
Jeremy,Sisto,1962-07-19,FTA,Sophie
Tom,Berenger,1982-08-07,Life of Crime,Sophie
Michael,Paré,1960-03-10,Rogue Warfare: Death of a Nation,Anna
Alan,Alda,1999-09-05,Sir! No Sir!,David Kim
Nicole,Kidman,1960-11-01,The American Bible Challenge,Sophie
Susan,Sarandon,1973-11-26,Metallica: Some Kind of Monster,David Kim
Barbra,Streisand,1965-10-02,The Devil Below,David Kim
Dev,Patel,1968-05-02,Sarbath,Sophie
Caitlin,Gerard,1990-06-12,Skater Girl,Anna
Asa,Butterfield,1998-07-08,Trese,Sophie
Aaron,Paul,1968-07-08,Wish Dragon,Anna
Bo,Burnham,1974-12-14,A Haunted House 2,Barbie
Jimmy,Gonzales,1963-10-18,Blind Intersections,Sophie
Thanapob,Leeratanakachorn,1964-09-03,Camellia Sisters,Dog
Agustín,Aristarán,1950-07-30,Copenhagen,David Kim
Sawsan,Arsheed,1984-12-20,Until Midnight,Sophie
Andrea,Arcangeli,1951-08-24,Awake,David Kim
Jim,Parsons,1953-09-24,Confusion Na Wa,Barbie
Ehan,Bhat,1969-04-20,Tragic Jungle,Anna
Dave,Bautista,1959-09-18,Vampire Academy,Sophie
Hend,Sabry,1973-09-11,A Private War,Barbie
Arnold,Schwarzenegger,1984-07-02,Small Chops,Sophie
John,Hawkes,1952-09-21,Breaking Boundaries: The Science Of Our Planet,Barbie
Amy,Tan,1951-07-17,Feel Good,Anna
Arjun,Kapoor,1977-02-12,Sweet & Sour,Dog
Jacob,Latimore,1993-01-11,Trippin' with the Kandasamys,Sophie
Arif,Zakaria,1960-02-19,Xtreme,Sophie
Vikas,Vasistha,1985-07-23,Alan SaldaÃ±a: Locked Up,Dog
Frank,Lammers,1995-08-29,Dancing Queens,Dog
Ewan,McGregor,1951-10-22,Myriam Fares: The Journey,Barbie
Erica,Wessels,1981-02-27,The Girl and the Gun,Dog
Ed,Kear,1957-03-14,2 Hearts,David Kim
Diaan,Lawrenson,1967-12-06,A Perfect Ending,David Kim
León,Orlandianyi,1968-02-14,American Outlaws,Dog
Amy,Adams,1962-02-14,And Then Came Lola,Sophie
Daniel,Craig,1977-11-26,Battlefield Earth,Dog
Shalini,Vatsa,1957-10-08,Bliss,Barbie
Alfonso,Herrera,1961-05-19,Carnaval,Barbie
Mélanie,Laurent,1959-11-19,Cloudburst,Anna
Daniel,Faraldo,1962-09-27,Company of Heroes,David Kim
Teri,Polo,1999-11-11,Cradle 2 the Grave,Anna
Kunchacko,Boban,1995-05-19,Domestic Disturbance,Sophie
Darren,Wang,1999-05-19,Dream/Killer,Dog
Demet,Akba?,1951-04-13,Felon,Anna
Suvinder,Vicky,1958-04-12,Flipped,Sophie
Kelvin,Harrison,1991-09-24,Fools Rush In,Barbie
Sooraj,Pancholi,1952-10-01,Gold Statue,Sophie
Jennifer,Brea,1961-08-02,Hostel: Part III,Barbie
Mala,Emde,1990-04-24,I Am Sam,Dog
Alec,Baldwin,1979-04-10,Love Jones,Barbie
Dylan,McDermott,1957-01-29,Million Dollar Baby,David Kim
Jayden,Greig,1955-08-15,Mosquita y Mari,Anna
Tyrese,Gibson,1971-01-15,Never Back Down 2: The Beatdown,Dog
Eric,Roberts,1995-04-06,Ninja Assassin,Barbie
Robert,Downey,1986-10-11,Ouran High School Host Club,Sophie
Jim,Carrey,1994-08-18,Population 436,Sophie
Matt,Damon,1959-06-25,Sniper: Legacy,Sophie
Richard,Gere,1962-01-27,Starsky & Hutch,Sophie
Sean,Faris,1999-04-26,Streets of Fire,Dog
Orlando,Bloom,1955-09-07,Swordfish,Dog
Patrick,Robinson,1984-06-17,The Four Seasons,Dog
Kurt,Russell,1965-04-10,The Interpreter,Sophie
Russell,Crowe,1982-07-25,The Meddler,Anna
Kendall,Ryan,1965-08-03,The Mirror Has Two Faces,Barbie
Emile,Hirsch,1952-04-21,The Outlaw Josey Wales,Sophie
Keanu,Reeves,1986-12-17,The Wedding Guest,Barbie
Rachelle,Lefevre,1984-01-18,The Wind,David Kim
Steven,Seagal,2003-04-20,Then Came You,Anna
Aditya,Modak,1964-07-08,Welcome Home,Dog
Bailee,Madison,1965-07-28,Bo Burnham: Inside,Sophie
Marcus,Majella,1985-03-25,Collateral Beauty,David Kim
Meryl,Streep,1950-10-04,Blue Miracle,David Kim
Aaron,Eckhart,1957-08-07,Ghost Lab,Anna
Nicolas,Cage,1953-09-10,Soy Rada: Serendipity,Barbie
Supriya,Pathak,1956-12-02,The Day I lost My Shadow,David Kim
Engin,Günayd?n,2003-01-21,Baggio: The Divine Ponytail,Sophie
Onur,Buldu,1952-12-02,Home,David Kim
Gupse,Özay,1978-12-31,99 Songs,Sophie
Ahmet,Kural,2001-01-31,Army of the Dead,David Kim
Cem,Y?lmaz,1995-04-13,Asmaa,Anna
Ali,Sunal,1998-07-04,Spy Kids: All the Time in the World,Anna
Enrique,Bunbury,1975-05-16,Sabotage,Sophie
Cengiz,Bozkurt,1978-10-06,Small Town Crime,Barbie
Ezgi,Mola,1976-04-18,Amy Tan: Unintended Memoir,Anna
Suppapong,Udomkaewkanjana,1990-02-13,Sardar Ka Grandson,Anna
O?uzhan,Koç,1969-07-12,Sleight,Anna
Ata,Demirer,2002-12-10,Ahaan,Anna
Riham,Abdel,1991-11-14,Cinema Bandi,Dog
Bisola,Aiyeola,1980-03-07,Ferry,David Kim
Y?lmaz,Erdo?an,1959-09-10,Halston,David Kim
Go,Ayano,1996-12-06,I Am All Girls,Dog
Anna,Kendrick,1958-07-22,Jungle Beat: The Movie,Anna
Olu,Jacobs,1956-01-25,Table Manners,David Kim
Jessica,Chastain,1975-09-23,The Strange House,Sophie
Edward,James,1967-04-27,The Woman in the Window,David Kim
Imran,Khan,1980-12-12,Layer Cake,David Kim
Aamir,Khan,1992-03-19,Tottaa Pataaka Item Maal,Sophie
Omkar,Das,1974-12-07,Dance of the Forty One,Barbie
Fatima,Sana,1980-06-02,Oxygen,Sophie
Michael,J,1975-08-08,Illegal Woman,Dog
America,Young,1984-05-09,Deadly Switch,Barbie
Mia,Wasikowska,1955-04-09,Nayattu,Sophie
Isaiah,Washington,1983-01-17,Sleepless,Barbie
Alexa,Ilacad,1996-04-06,Super Me,Anna
Alexandra,Pfeifer,1956-01-16,Have You Ever Seen Fireflies? - Theatre Play,Dog
Chris,Hemsworth,1987-05-25,Milestone,David Kim
Anthony,Mackie,1989-04-30,Monster,Barbie
Andrew,Wilson,1994-05-17,Time to Dance,David Kim
Anmol,Thakeria,1968-01-16,Unrest,Anna
Daisuke,Ono,1989-12-07,And Tomorrow the Entire World,Sophie
Garth,Brooks,1990-10-25,Dead Man Down,Dog
Amber,Midthunder,1964-09-04,Framing John DeLorean,Dog
Kiko,Mizuhara,1998-10-06,The Clovehitch Killer,Sophie
Joaquin,Phoenix,2001-05-20,Aliens Stole My Body,Barbie
Nasir,Nas,1968-06-21,Au coeur des gangs,Sophie
Daniel,Valdez,1965-12-14,Best of the Best,David Kim
Chang,Chen,1981-09-14,Due Date,Anna
Nannaphas,Loetnamchoetsakun,1957-11-07,Fun with Dick & Jane,David Kim
Panja,Vaisshnav,1976-02-11,Green Zone,Anna
Yang,Tianxiang,1977-01-26,Hachi: A Dog's Tale,Dog
Drew,Barrymore,1980-12-28,JT LeRoy,Sophie
Um,Tae-goo,1957-04-26,Madagascar 3: Europe's Most Wanted,Dog
Seun,Ajayi,1995-05-30,Mystic River,David Kim
Rajkummar,Rao,1972-04-12,Never Back Down,Sophie
Joey,Bada$$,1989-09-01,S.M.A.R.T Chase,Dog
Ardhito,Pramono,1977-02-17,Sitting in Limbo,David Kim
Yogi,Babu,1988-06-05,Stargate,Barbie
Kang,Quintus,1976-01-22,State of Play,Anna
Ema,Horvath,1962-06-19,Swiped,Barbie
Rob,Corddry,1987-04-11,The Darkest Hour,Anna
Jade,Pettyjohn,1956-09-29,The Lovely Bones,Barbie
Idris,Elba,1975-09-06,The Sweetest Thing,Barbie
Brian,Austin,1987-09-22,The Whole Nine Yards,Dog
Zainab,Balogun,1989-01-10,The Whole Truth,Dog
Fahadh,Faasil,1953-10-03,The Yeti Adventures,Dog
Yolanthe,Cabau,1951-08-04,Under Siege,Dog
Karole,Rocher,1977-03-07,Zack and Miri Make a Porno,Barbie
Timothy,Omundson,1974-09-16,The Disciple,Sophie
John,Cusack,1979-03-31,The Strangers: Prey at Night,David Kim
Sharman,Joshi,2001-02-05,Get the Grift,Barbie
Patrick,Wilson,1987-01-12,August: Osage County,David Kim
James,Marsden,1981-07-05,Battle: Los Angeles,Sophie
Richa,Chadda,1973-10-14,Between Worlds,Barbie
Audrey,Hepburn,1952-04-06,One,Anna
Sam,Jaeger,1962-01-12,Ram Prasad Ki Tehrvi,Sophie
Shun,Oguri,1950-04-23,Among Family,Sophie
Chad,Michael,1998-09-13,Dedemin Fisi,David Kim
Casper,Van,1975-10-05,Deliha,Sophie
Matt,Dillon,1976-07-13,DÃ¼ÄŸÃ¼n Dernek,Barbie
Clara,Bernadeth,1971-01-26,DÃ¼gÃ¼n Dernek 2: SÃ¼nnet,Sophie
Sedky,Sakhr,1959-04-10,G.O.R.A,Anna
Adrien,Brody,1962-04-03,Hayat Ã–pÃ¼cÃ¼gÃ¼,Dog
Richard,Wershe,1959-12-28,Heroes: Silence and Rock & Roll,Anna
Willem,Dafoe,1990-03-13,Kara Bela,Barbie
Brendon,Mcdonnell,1995-08-19,Kocan Kadar Konus,Sophie
